commune_id,name,residents,population_change,population_density,foreign_nationals_percent,age_0_19,age_20_64,age_65_over,marriage_rate,divorce_rate,birth_rate,mortality_rate,households,households_size,surface_area,settlement_urban_area_percent,settlement_urban_area_change,agricultural_area_percent,agricultural_area_change,wooded_area_percent,unproductive_area_percent,employed_total,employed_primary_sector,employed_secondary_sector,employed_tertiary_sector,workplaces_total,workplaces_primary_sector,workplaces_secondary_sector,workplaces_tertiary_sector,dwelling_vacancy_rate,new_housing_rate,social_assistance_rate,vote_share_fdp,vote_share_cvp,vote_share_sp,vote_share_svp,vote_share_evp,vote_share_glp,vote_share_bdp,vote_share_pda,vote_share_gps,vote_share_rightwing,vote_share_total,po_value,language,canton,health_region,health_premium_child,health_premium_young,health_premium_adult,rel_share_rk,rel_share_ref,rel_share_other,rel_share_none,total_tax_income,per_capita_tax_income,unemployed,unemployment_rate,crime_rate_stgb,typology,n_machines,e_cntr,n_cntr,z_min
1.0,Aeugst am Albis,1982.0,8.6622807018,250.5689001264,13.8748738648,19.6770938446,62.7648839556,17.5580221998,4.5883252613,2.0392556717,8.6668366046,5.6079530971,835.0,2.3616766467,7.91,12.6582278481,21,51.1392405063,-22,30.8860759494,5.3164556962,440,37,29,374,143,14,14,115,5.701754386,3.54071826,0.772797527,16.4210448751,2.4979736202,11.5651020559,30.3809593987,3.2274703412,14.3172942303,1.2637241176,0.1621103824,15.0504752782,3.8206469678,98.7068012674,0.446754507109777,de,ZH,3.0,90.31,242.1,335.73,0.261692,0.282363,0.152199,0.293655,101.3324,51255.639858371,18228.0,2.1275,32.6992438529,23,0.0,2679300,1235700,533
2.0,Affoltern am Albis,12229.0,10.2605716347,1154.7686496695,28.628669556,20.5086270341,61.3296262981,18.1617466678,4.6769230769,2.1333333333,12.8,7.7128205128,5348.0,2.2262528048,10.59,30.6742640076,92,40.1709401709,-93,28.2051282051,0.9496676163,6704,53,1300,5351,985,23,141,821,1.0706268347,8.9915966387,2.9557055821,13.3854374655,4.5353414342,14.6452545306,30.3069199612,6.6185559169,12.6666286345,2.0014452241,0.1987183144,12.5905642079,1.5555175233,98.5043832126,0.39478383413120766,de,ZH,3.0,90.31,242.1,335.73,0.261692,0.282363,0.152199,0.293655,381.2711,32039.588235294,18228.0,2.1275,32.6992438529,11,3.0,2676800,1236800,440
3.0,Bonstetten,5548.0,7.5402209731,746.7025572005,16.0057678443,23.666186013,60.3100216294,16.0237923576,4.1591320072,1.2658227848,9.9457504521,6.1482820976,2325.0,2.3784946237,7.43,15.4569892473,24,55.5107526882,-21,28.6290322581,0.4032258065,996,28,114,854,274,13,28,233,1.0129659643,7.3597056118,1.5783744557,15.3549839136,3.8679612771,16.742890944,26.1163129572,4.1940184381,16.2379351637,1.2840304128,0.1760131577,12.3685311558,1.3850215688,97.72769898880001,0.30502819687605975,de,ZH,3.0,90.31,242.1,335.73,0.261692,0.282363,0.152199,0.293655,214.2104,39413.137074517,18228.0,2.1275,32.6992438529,22,1.0,2677800,1241000,502
4.0,Hausen am Albis,3701.0,10.1488095238,272.1323529412,15.6174007025,21.8049175898,60.6863009997,17.5087814104,4.8879837067,2.172437203,8.1466395112,6.2457569586,1546.0,2.3751617076,13.6,12.6925898753,33,55.9060895084,-31,28.8334556126,2.5678650037,1088,98,132,858,265,36,34,195,1.6733987305,26.6031923831,1.0644104803,11.1351626663,3.9345514739,13.7115086692,33.1847796099,4.0597610407,12.4169690796,1.6107468008,0.1931198404,16.7441268224,1.6107468008,98.601472804,0.35243855193499946,de,ZH,3.0,90.31,242.1,335.73,0.261692,0.282363,0.152199,0.293655,138.4407,38768.04816578,18228.0,2.1275,32.6992438529,22,0.0,2682900,1233100,524
5.0,Hedingen,3734.0,9.5014662757,571.8223583461,15.85431173,21.7728976968,61.7568291377,16.4702731655,3.5002692515,1.8847603662,9.4238018309,4.8465266559,1540.0,2.4136363636,6.53,19.8170731707,44,46.3414634146,-43,33.2317073171,0.6097560976,1458,32,669,757,199,11,24,164,1.1022657685,3.2546786005,1.5159718462,13.9908978419,3.8736603679,16.7383234412,26.6017910698,3.7268513664,16.4153436379,1.8812524905,0.1824626161,12.3487342967,2.1706759506,97.929993079,0.32284661840928675,de,ZH,3.0,90.31,242.1,335.73,0.261692,0.282363,0.152199,0.293655,151.8671,41189.883374017,18228.0,2.1275,32.6992438529,11,2.0,2676400,1239000,475
6.0,Kappel am Albis,1157.0,26.0348583878,146.0858585859,16.5946413137,25.2376836647,60.7605877269,14.0017286085,3.5056967572,3.5056967572,10.5170902717,5.2585451358,465.0,2.4709677419,7.92,8.3120204604,12,69.9488491049,-12,20.5882352941,1.1508951407,319,62,81,176,100,22,22,56,5.1136363636,9.9099099099,0.8888888889,10.8628896054,5.4966989099,9.0741593736,43.6358053125,4.5140488254,10.8705665592,1.2666973745,0.0460617227,10.1796407186,1.6275142024,97.57408260419999,0.7494885916596069,de,ZH,3.0,90.31,242.1,335.73,0.261692,0.282363,0.152199,0.293655,41.3162,37221.801801802,18228.0,2.1275,32.6992438529,23,0.0,2682400,1231300,463
7.0,Knonau,2373.0,31.8333333333,366.7697063369,18.7104930468,23.8938053097,61.0619469027,15.0442477876,4.702864472,0.4275331338,15.3911928174,4.2753313382,925.0,2.5556756757,6.47,18.0277349769,19,62.249614792,-21,17.1032357473,2.6194144838,531,58,102,371,128,25,12,91,1.1776251227,7.3800738007,0.8242950108,9.2047952877,5.3428464761,11.4323640436,32.268635666,6.9067075953,17.3227693201,2.6672750653,0.0954079728,11.349400589,2.2026797196,98.79288173549999,0.47060799462734393,de,ZH,3.0,90.31,242.1,335.73,0.261692,0.282363,0.152199,0.293655,76.5119,35291.466789668,18228.0,2.1275,32.6992438529,22,1.0,2677500,1230900,412
8.0,Maschwanden,656.0,6.4935064935,139.8720682303,12.0426829268,23.0182926829,59.756097561,17.2256097561,4.6260601388,1.5420200463,6.168080185,3.0840400925,272.0,2.4080882353,4.69,8.9743589744,-5,59.615384615400004,0,23.7179487179,7.6923076923,162,48,45,69,68,18,8,42,3.3222591362,3.1948881789,0.9360374415,3.3391915641,2.5550899013,16.9392997161,44.5180478572,3.4067865351,12.2887657158,2.9336217385,0.0675949709,10.0175746924,2.9876977153,99.05367040670001,0.6478777125714588,de,ZH,3.0,90.31,242.1,335.73,0.261692,0.282363,0.152199,0.293655,20.8029,33231.469648562,18228.0,2.1275,32.6992438529,23,0.0,2674800,1232000,386
9.0,Mettmenstetten,5094.0,20.0565637521,390.9439754413,15.096191598,22.7326266196,59.7762073027,17.4911660777,4.0080160321,1.4028056112,11.0220440882,4.0080160321,2050.0,2.4590243902,13.03,15.9908186687,65,64.2693190513,-70,18.5921958684,1.1476664116,1654,144,542,968,313,49,51,213,0.6714413608,1.8514708908,1.3507981989,11.823788258,3.5628404574,15.3702704029,31.2296543489,4.6572115621,14.6488688227,1.3577399355,0.3876920057,11.8254240893,3.9292666569,98.79275653939999,0.44236914874189853,de,ZH,3.0,90.31,242.1,335.73,0.261692,0.282363,0.152199,0.293655,188.4993,38777.885208805,18228.0,2.1275,32.6992438529,22,2.0,2677600,1233000,432
10.0,Obfelden,5599.0,19.4835680751,742.5729442971,21.0573316664,23.5041971781,59.7785318807,16.7172709412,4.7466910087,2.3733455043,12.4144226381,4.7466910087,2302.0,2.4144222415,7.54,24.3386243386,46,49.0740740741,-44,21.4285714286,5.1587301587,1239,55,304,880,308,17,64,227,4.1465378422,34.6910933541,2.6325616131,11.5118182164,6.3924941956,14.6424085563,33.7152209493,5.3248582195,14.5605754958,1.8421954097,0.0856392494,8.5487001865,2.1733338408,98.79724431929999,0.5386793543168034,de,ZH,3.0,90.31,242.1,335.73,0.261692,0.282363,0.152199,0.293655,164.9998,32157.435197817,18228.0,2.1275,32.6992438529,22,0.0,2675100,1235300,383
