,ch_n,ch_e,station_name,lat,lon,commune_id,name,canton
0,1191280.192,2759449.251,Chur,46.8535370467,9.52962822834,3901.0,Chur,GR
1,1191279.711,2759450.545,Chur,46.8535324112,9.529645021539999,3901.0,Chur,GR
2,1208007.866,2758940.604,Maienfeld,47.004074427,9.52880453216,3953.0,Maienfeld,GR
3,1203981.303,2761001.952,Landquart,46.9673710213,9.55447167688,3955.0,Landquart,GR
4,1191281.005,2759450.13,Chur,46.8535441465,9.52964003408,3901.0,Chur,GR
5,1208653.709,2757096.5560000003,Bad Ragaz,47.010321168000004,9.50478901805,3291.0,Bad Ragaz,SG
6,1203980.969,2761000.296,Landquart,46.967368419799996,9.55444980642,3955.0,Landquart,GR
7,1191212.4479999999,2759327.227,Chur,46.852957126999996,9.52800512362,3901.0,Chur,GR
8,1208655.223,2757096.72,Bad Ragaz,47.010334743,9.50479169834,3291.0,Bad Ragaz,SG
9,1203968.13,2760933.2139999997,Landquart,46.967269242600004,9.55356411419,3955.0,Landquart,GR
10,1212409.38,2752473.127,Sargans,47.0451716582,9.4452711123,3296.0,Sargans,SG
11,1219685.825,2737852.0760000004,Unterterzen,47.11380783640001,9.25513840116,3295.0,Quarten,SG
12,1212406.248,2752475.137,Sargans,47.0451430326,9.44529649945,3296.0,Sargans,SG
13,1217920.279,2744949.16,Flums,47.096415581,9.34805610323,3292.0,Flums,SG
14,1219631.303,2739501.481,Mols,47.112971996400006,9.27684824837,3295.0,Quarten,SG
15,1213314.19,2750396.6810000003,Mels,47.053782293299996,9.41825591526,3293.0,Mels,SG
16,1220466.485,2742212.492,Walenstadt,47.1199053179,9.3128207892,3298.0,Walenstadt,SG
17,1219564.205,2734811.023,Murg,47.1133404983,9.21504331844,3295.0,Quarten,SG
18,1219999.8390000002,2731577.559,Muhlehorn,47.1179086438,9.17257665918,1630.0,Glarus Nord,GL
19,1234334.362,2756234.173,Salez-Sennwald,47.241438728599995,9.502335391399999,3274.0,Sennwald,SG
20,1251322.898,2762180.175,Rebstein-Marbach,47.3927496247,9.58698217591,3255.0,Rebstein,SG
21,1253378.63,2765182.8019999997,Heerbrugg,47.4104856488,9.627496330489999,3231.0,Au (SG),SG
22,1258171.422,2765785.909,St. Margrethen,47.453423839399996,9.637263660010001,3236.0,St. Margrethen,SG
23,1259607.749,2762225.0519999997,Rheineck,47.4672251875,9.59058630465,3235.0,Rheineck,SG
24,1260982.868,2757990.6319999998,Staad,47.4806195416,9.5349300278,3237.0,Thal,SG
25,1260083.5729999999,2748934.775,Morschwil,47.4746478805,9.41452398745,3214.0,Mörschwil,SG
26,1243530.416,2761208.6980000003,Oberriet,47.3229263076,9.57131397057,3254.0,Oberriet (SG),SG
27,1258173.031,2765849.9680000003,St. Margrethen,47.4534221556,9.63811335703,3236.0,St. Margrethen,SG
28,1261012.668,2758113.545,Staad,47.4808579147,9.53657069754,3237.0,Thal,SG
29,1260633.118,2755798.1319999998,Rorschach,47.4779982575,9.505730079,3215.0,Rorschach,SG
30,1260334.957,2754572.277,Rorschach Stadt,47.4756068854,9.489369684249999,3215.0,Rorschach,SG
31,1260112.978,2752866.895,Goldach,47.474009808000005,9.46667803491,3213.0,Goldach,SG
32,1255576.4070000001,2747433.378,St. Gallen St. Fiden,47.434461347299994,9.39312391589,3203.0,St. Gallen,SG
33,1221404.1609999998,2755930.3660000004,Sevelen,47.1252469821,9.49385057646,3275.0,Sevelen,SG
34,1226160.567,2754641.693,Buchs SG,47.168317860500004,9.47850287495,3271.0,Buchs (SG),SG
35,1259608.5659999999,2762226.477,Rheineck,47.4672321813,9.59060549542,3235.0,Rheineck,SG
36,1260099.815,2752868.24,Goldach,47.473891147399996,9.466691356970001,3213.0,Goldach,SG
37,1226160.881,2754642.519,Buchs SG,47.1683204908,9.47851387346,3271.0,Buchs (SG),SG
38,1253381.987,2765186.341,Heerbrugg,47.4105149423,9.627544443089999,3231.0,Au (SG),SG
39,1256287.3909999998,2766155.672,Au SG,47.4363921761,9.641463377760001,3231.0,Au (SG),SG
40,1259607.75,2762225.0519999997,Rheineck,47.467225196499996,9.590586305010001,3235.0,Rheineck,SG
41,1260335.077,2754573.917,Rorschach Stadt,47.4756075787,9.48939147418,3215.0,Rorschach,SG
42,1255574.9009999998,2747380.459,St. Gallen St. Fiden,47.434459661700004,9.392422171369999,3203.0,St. Gallen,SG
43,1254361.875,2745684.3019999997,St. Gallen,47.4239306351,9.36954992127,3203.0,St. Gallen,SG
44,1226228.265,2754670.5719999997,Buchs SG,47.1689198271,9.478906865399999,3271.0,Buchs (SG),SG
45,1239443.813,2758670.96,Ruthi SG,47.2867984029,9.53631216073,3256.0,Rüthi (SG),SG
46,1249246.912,2759949.7810000004,Altstatten SG,47.3746301275,9.556708901950001,3251.0,Altstätten,SG
47,1231511.237,2716809.4960000003,Uznach,47.2242018227,8.980996226110001,3339.0,Uznach,SG
48,1246711.863,2723623.307,Butschwil,47.3596537496,9.07512754905,3395.0,Bütschwil-Ganterschwil,SG
49,1252271.87,2723024.867,Bazenheid,47.4097628917,9.0687369239,3392.0,Kirchberg (SG),SG
50,1249542.971,2723276.8860000004,Lutisburg,47.385176843800004,9.07132287144,3393.0,Lütisburg,SG
51,1230856.077,2719997.3430000003,Kaltbrunn,47.2177387397,9.02290301905,3313.0,Kaltbrunn,SG
52,1231509.73,2716809.0930000003,Uznach,47.2241883417,8.98099051508,3339.0,Uznach,SG
53,1245039.4309999999,2723897.99,Dietfurt,47.344563074300005,9.07830003868,3395.0,Bütschwil-Ganterschwil,SG
54,1262680.822,2735298.89,Bischofszell Nord,47.500948603999994,9.23447350386,4471.0,Bischofszell,TG
55,1263179.534,2736380.9310000003,Sitterdorf,47.5052091057,9.248983300099999,4511.0,Zihlschlacht-Sitterdorf,TG
56,1260023.682,2736672.064,Hauptwil,47.4767727731,9.251878380760001,4486.0,Hauptwil-Gottshaus,TG
57,1256157.703,2736774.335,Arnegg,47.4419901825,9.25204930298,3443.0,Gossau (SG),SG
58,1261712.643,2735848.18,Bischofszell Stadt,47.4921298963,9.24146649479,4471.0,Bischofszell,TG
59,1252818.231,2736956.5889999997,Gossau SG,47.411924774700005,9.25344074887,3443.0,Gossau (SG),SG
60,1265264.6570000001,2732754.332,Kradolf,47.524700261899994,9.2014811163,4501.0,Kradolf-Schönenberg,TG
61,1254252.687,2745673.541,St. Gallen,47.4229512662,9.369371739149999,3203.0,St. Gallen,SG
62,1251996.818,2740593.922,St. Gallen Winkeln,47.403772143999994,9.30136282903,3203.0,St. Gallen,SG
63,1252783.185,2736966.034,Gossau SG,47.4116076853,9.25355511804,3443.0,Gossau (SG),SG
64,1255320.512,2727671.597,Uzwil,47.43629159899999,9.13115992337,3408.0,Uzwil,SG
65,1258090.034,2720819.646,Wil SG,47.4624893796,9.04109984722,3427.0,Wil (SG),SG
66,1257864.396,2714573.293,Eschlikon,47.461578167700004,8.95821550937,4724.0,Eschlikon,TG
67,1257833.506,2714571.952,Eschlikon,47.461300628800004,8.958189793719999,4724.0,Eschlikon,TG
68,1252818.34,2736958.192,Gossau SG,47.4119254213,9.25346201608,3443.0,Gossau (SG),SG
69,1255326.8390000002,2727650.482,Uzwil,47.436352587799995,9.130881899,3408.0,Uzwil,SG
70,1258086.361,2720858.008,Wil SG,47.4624493033,9.041607519560001,3427.0,Wil (SG),SG
71,1257969.418,2717741.0530000003,Sirnach,47.4619631085,9.00024643075,4761.0,Sirnach,TG
72,1261941.7179999999,2703451.825,Schottikon,47.500087020200006,8.81168894999,219.0,Elsau,ZH
73,1261765.148,2702195.5330000003,Raterschen,47.4986957342,8.79497763494,219.0,Elsau,ZH
