X;Y;LINIE;KM;Dst-Abk;BPS NAME;TYP TEXT;TYP AUSWAHL;ID-AUTOMAT;SPRACHE;ABK STRVERW;LAUF_NR;geopos
1191280.192;2759449.251;900;25.646;CH;Chur;ePOS;ePOS;09000261;Deutsch;SBB CFF FFS;6;46.8535370467,9.52962822834
1191279.711;2759450.545;900;25.646;CH;Chur;ePOS;ePOS;09000260;Deutsch;SBB CFF FFS;6;46.8535324112,9.52964502154
1208007.866;2758940.604;900;7.727;MF;Maienfeld;ePOS;ePOS;09003252;Deutsch;SBB CFF FFS;1;47.004074427,9.52880453216
1203981.303;2761001.952;900;12.329;LQ;Landquart;ePOS;ePOS;09002254;Deutsch;SBB CFF FFS;4;46.9673710213,9.55447167688
1191281.005;2759450.13;900;25.645;CH;Chur;ePOS;ePOS;09000259;Deutsch;SBB CFF FFS;6;46.8535441465,9.52964003408
1208653.709;2757096.556;900;5.708;BRAG;Bad Ragaz;ePOS;ePOS;09004253;Deutsch;SBB CFF FFS;0;47.010321168,9.50478901805
1203980.969;2761000.296;900;12.329;LQ;Landquart;ePOS;ePOS;09002255;Deutsch;SBB CFF FFS;4;46.9673684198,9.55444980642
1191212.448;2759327.227;900;25.783;CH;Chur;ePOS;ePOS;09000258;Deutsch;SBB CFF FFS;7;46.852957127,9.52800512362
1208655.223;2757096.72;900;5.708;BRAG;Bad Ragaz;S-POS;S-POS;09004252;Deutsch;SBB CFF FFS;0;47.010334743,9.50479169834
1203968.13;2760933.214;900;12.332;LQ;Landquart;ePOS;ePOS;09002256;Deutsch;SBB CFF FFS;4;46.9672692426,9.55356411419
1212409.38;2752473.127;890;0.251;SA;Sargans;ePOS;ePOS;09411256;Deutsch;SBB CFF FFS;0;47.0451716582,9.4452711123
1219685.825;2737852.076;890;18.099;UNT;Unterterzen;ePOS;ePOS;09416252;Deutsch;SBB CFF FFS;4;47.1138078364,9.25513840116
1212406.248;2752475.137;890;0.248;SA;Sargans;ePOS;ePOS;09411257;Deutsch;SBB CFF FFS;0;47.0451430326,9.44529649945
1217920.279;2744949.16;890;9.707;FMS;Flums;ePOS;ePOS;09413252;Deutsch;SBB CFF FFS;1;47.096415581,9.34805610323
1219631.303;2739501.481;890;16.371;MOLS;Mols;ePOS;ePOS;09415252;Deutsch;SBB CFF FFS;3;47.1129719964,9.27684824837
1213314.19;2750396.681;890;2.518;MELS;Mels;ePOS;ePOS;09412252;Deutsch;SBB CFF FFS;0;47.0537822933,9.41825591526
1220466.485;2742212.492;890;13.487;WAL;Walenstadt;ePOS;ePOS;09414252;Deutsch;SBB CFF FFS;3;47.1199053179,9.3128207892
1219564.205;2734811.023;890;21.218;MG;Murg;ePOS;ePOS;09417252;Deutsch;SBB CFF FFS;5;47.1133404983,9.21504331844
1219999.839;2731577.559;890;24.636;MH;Muhlehorn;ePOS;ePOS;09418252;Deutsch;SBB CFF FFS;8;47.1179086438,9.17257665918
1234334.362;2756234.173;880;24.573;SAS;Salez-Sennwald;S-POS;S-POS;09402251;Deutsch;SBB CFF FFS;4;47.2414387286,9.5023353914
1251322.898;2762180.175;880;44.307;REB;Rebstein-Marbach;ePOS;ePOS;06318252;Deutsch;SBB CFF FFS;9;47.3927496247,9.58698217591
1253378.63;2765182.802;880;47.95;HEBG;Heerbrugg;ePOS;ePOS;06317254;Deutsch;SBB CFF FFS;10;47.4104856488,9.62749633049
1258171.422;2765785.909;880;53.898;SMG;St. Margrethen;ePOS;ePOS;06314253;Deutsch;SBB CFF FFS;13;47.4534238394,9.63726366001
1259607.749;2762225.052;880;57.878;RCK;Rheineck;ePOS;ePOS;06313253;Deutsch;SBB CFF FFS;14;47.4672251875,9.59058630465
1260982.868;2757990.632;880;62.759;STA;Staad;S-POS;S-POS;06312252;Deutsch;SBB CFF FFS;15;47.4806195416,9.5349300278
1260083.573;2748934.775;880;72.836;MOER;Morschwil;ePOS;ePOS;06304252;Deutsch;SBB CFF FFS;23;47.4746478805,9.41452398745
1243530.416;2761208.698;880;35.259;ORT;Oberriet;ePOS;ePOS;09400252;Deutsch;SBB CFF FFS;6;47.3229263076,9.57131397057
1258173.031;2765849.968;880;53.837;SMG;St. Margrethen;OBB;Andere;OBB;Deutsch;SBB CFF FFS;13;47.4534221556,9.63811335703
1261012.668;2758113.545;880;62.634;STA;Staad;ePOS;ePOS;06312253;Deutsch;SBB CFF FFS;15;47.4808579147,9.53657069754
1260633.118;2755798.132;880;64.997;RS;Rorschach;ePOS;ePOS;06311253;Deutsch;SBB CFF FFS;17;47.4779982575,9.505730079
1260334.957;2754572.277;880;66.272;RSST;Rorschach Stadt;ePOS;ePOS;06322254;Deutsch;SBB CFF FFS;18;47.4756068854,9.48936968425
1260112.978;2752866.895;880;68.018;GOL;Goldach;ePOS;ePOS;06305254;Deutsch;SBB CFF FFS;21;47.474009808,9.46667803491
1255576.407;2747433.378;880;78.181;SGF;St. Gallen St. Fiden;ePOS;ePOS;06303252;Deutsch;SBB CFF FFS;25;47.4344613473,9.39312391589
1221404.161;2755930.366;880;10.933;SEV;Sevelen;ePOS;ePOS;09406252;Deutsch;SBB CFF FFS;0;47.1252469821,9.49385057646
1226160.567;2754641.693;880;15.861;BU;Buchs SG;ePOS;ePOS;09404255;Deutsch;SBB CFF FFS;2;47.1683178605,9.47850287495
1259608.566;2762226.477;880;57.878;RCK;Rheineck;S-POS;S-POS;06313252;Deutsch;SBB CFF FFS;14;47.4672321813,9.59060549542
1260099.815;2752868.24;880;68.018;GOL;Goldach;ePOS;ePOS;06305253;Deutsch;SBB CFF FFS;21;47.4738911474,9.46669135697
1226160.881;2754642.519;880;15.861;BU;Buchs SG;ePOS;ePOS;09404256;Deutsch;SBB CFF FFS;2;47.1683204908,9.47851387346
1253381.987;2765186.341;880;47.955;HEBG;Heerbrugg;ePOS;ePOS;06317256;Deutsch;SBB CFF FFS;10;47.4105149423,9.62754444309
1256287.391;2766155.672;880;51.08;AUSG;Au SG;ePOS;ePOS;06316252;Deutsch;SBB CFF FFS;11;47.4363921761,9.64146337776
1259607.75;2762225.052;880;57.878;RCK;Rheineck;ePOS;ePOS;06313253;Deutsch;SBB CFF FFS;14;47.4672251965,9.59058630501
1260335.077;2754573.917;880;66.27;RSST;Rorschach Stadt;ePOS;ePOS;06322253;Deutsch;SBB CFF FFS;18;47.4756075787,9.48939147418
1255574.901;2747380.459;880;78.23;SGF;St. Gallen St. Fiden;ePOS;ePOS;06303254;Deutsch;SBB CFF FFS;25;47.4344596617,9.39242217137
1254361.875;2745684.302;880;80.446;SG;St. Gallen;S-POS;S-POS;06302270;Deutsch;SBB CFF FFS;25;47.4239306351,9.36954992127
1226228.265;2754670.572;880;15.919;BU;Buchs SG;OBB;Andere;OBB;Deutsch;SBB CFF FFS;3;47.1689198271,9.4789068654
1239443.813;2758670.96;880;30.241;RTH;Ruthi SG;S-POS;S-POS;09401251;Deutsch;SBB CFF FFS;6;47.2867984029,9.53631216073
1249246.912;2759949.781;880;41.224;ALT;Altstatten SG;ePOS;ePOS;06319252;Deutsch;SBB CFF FFS;8;47.3746301275,9.55670890195
1231511.237;2716809.496;853;34.362;UZ;Uznach;ePOS;ePOS;03116253;Deutsch;SBB CFF FFS;9;47.2242018227,8.98099622611
1246711.863;2723623.307;853;12.918;BUET;Butschwil;ePOS;ePOS;06203252;Deutsch;SBB CFF FFS;3;47.3596537496,9.07512754905
1252271.87;2723024.867;853;6.969;BAZ;Bazenheid;ePOS;ePOS;06205252;Deutsch;SBB CFF FFS;2;47.4097628917,9.0687369239
1249542.971;2723276.886;853;9.991;LUET;Lutisburg;ePOS;ePOS;06204252;Deutsch;SBB CFF FFS;2;47.3851768438,9.07132287144
1230856.077;2719997.343;853;30.938;KAB;Kaltbrunn;ePOS;ePOS;03117252;Deutsch;SBB CFF FFS;8;47.2177387397,9.02290301905
1231509.73;2716809.093;853;34.362;UZ;Uznach;ePOS;ePOS;03116254;Deutsch;SBB CFF FFS;9;47.2241883417,8.98099051508
1245039.431;2723897.99;853;14.614;DTF;Dietfurt;ePOS;ePOS;06202252;Deutsch;SBB CFF FFS;4;47.3445630743,9.07830003868
1262680.822;2735298.89;852;6.848;BZN;Bischofszell Nord;ePOS;ePOS;06215252;Deutsch;SBB CFF FFS;3;47.500948604,9.23447350386
1263179.534;2736380.931;852;8.199;SIT;Sitterdorf;ePOS;ePOS;06214252;Deutsch;SBB CFF FFS;4;47.5052091057,9.2489833001
1260023.682;2736672.064;852;14.398;HPT;Hauptwil;ePOS;ePOS;06212252;Deutsch;SBB CFF FFS;6;47.4767727731,9.25187838076
1256157.703;2736774.335;852;18.588;ARN;Arnegg;ePOS;ePOS;06211252;Deutsch;SBB CFF FFS;7;47.4419901825,9.25204930298
1261712.643;2735848.18;852;10.048;BZS;Bischofszell Stadt;ePOS;ePOS;06213252;Deutsch;SBB CFF FFS;5;47.4921298963,9.24146649479
1252818.231;2736956.589;852;22.946;GSS;Gossau SG;ePOS;ePOS;06210254;Deutsch;SBB CFF FFS;8;47.4119247747,9.25344074887
1265264.657;2732754.332;852;2.116;KRA;Kradolf;ePOS;ePOS;06216252;Deutsch;SBB CFF FFS;1;47.5247002619,9.2014811163
1254252.687;2745673.541;850;80.501;SG;St. Gallen;ePOS;ePOS;06302266;Deutsch;SBB CFF FFS;-5;47.4229512662,9.36937173915
1251996.818;2740593.922;850;86.341;SGWI;St. Gallen Winkeln;ePOS;ePOS;06300251;Deutsch;SBB CFF FFS;-3;47.403772144,9.30136282903
1252783.185;2736966.034;850;90.09;GSS;Gossau SG;ePOS;ePOS;06210256;Deutsch;SBB CFF FFS;-2;47.4116076853,9.25355511804
1255320.512;2727671.597;850;100.923;UZW;Uzwil;ePOS;ePOS;06208254;Deutsch;SBB CFF FFS;1;47.436291599,9.13115992337
1258090.034;2720819.646;850;110.408;WIL;Wil SG;ePOS;ePOS;06206260;Deutsch;SBB CFF FFS;5;47.4624893796,9.04109984722
1257864.396;2714573.293;850;117.471;ESL;Eschlikon;ePOS;ePOS;06011253;Deutsch;SBB CFF FFS;8;47.4615781677,8.95821550937
1257833.506;2714571.952;850;117.472;ESL;Eschlikon;S-POS;S-POS;06011252;Deutsch;SBB CFF FFS;8;47.4613006288,8.95818979372
